,,,,,,,,,,,,,,,,,,Time(ms),,,,,9,10,11,12,13,14,15
,,,,,,,,,,,,,,,,,,Roanoke,,,,,782342,761060,764501,733075,731581,715822,723189
,,,,,,,,,,,,,,,,,OPT,655454,,,,,807484,784829,765915,757630,737463,732764,723835
,,,,,,,,,,,,,,,,,,,,,,,821961,789610,783793,767308,743495,737749,738672
,,,,,,,,,,,,,,,,,,,,,,,830319,791570,785054,768409,748013,739945,742862
,,,,,,,,,,,,,,,,,,,,,,,838692,796146,796691,778400,751046,753611,746402
Time/P,747218,753772,760327,766881,773436,779990,,,OPT/Time,11,12,13,14,15,,720999,734108,747218,760327,773436,786545,,839507,797363,799848,788350,760810,756332,748744
,14%,15%,16%,17%,18%,19%,,,4%,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,10%,12%,14%,16%,18%,20%,,851811,799131,802856,801983,763607,756393,757909
9,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,5%,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,14,14,14,14,14,14,,880592,803295,805829,831272,765878,757618,763399
10,0.00 ,0.00 ,0.00 ,0.10 ,0.10 ,0.10 ,,,6%,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,15,13,13,13,13,,882261,808781,815617,833619,773336,759832,776355
11,0.00 ,0.00 ,0.00 ,0.20 ,0.20 ,0.20 ,,,7%,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,13,12,12,12,12,,896303,808961,825130,868644,805974,791458,777185
12,0.10 ,0.10 ,0.20 ,0.20 ,0.40 ,0.50 ,,,8%,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,12,15,15,12,11,,,,,,,,
13,0.30 ,0.50 ,0.50 ,0.80 ,0.90 ,0.90 ,,,9%,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,15,9,,,,,,,,
14,0.40 ,0.50 ,0.90 ,0.90 ,0.90 ,0.90 ,,,10%,0.00 ,0.00 ,0.00 ,0.10 ,0.00 ,,,,,,10,10,,,,,,,,
15,0.50 ,0.60 ,0.90 ,0.90 ,0.90 ,1.00 ,,,11%,0.00 ,0.00 ,0.00 ,0.10 ,0.20 ,,,,,,,,,,,,,,,
,,,,,,,,,12%,0.00 ,0.10 ,0.10 ,0.20 ,0.20 ,,,,,,,,,,,,,,,
,,,,,,,,,13%,0.00 ,0.10 ,0.20 ,0.40 ,0.30 ,,,,,,,,,,,,,,,
,,,,,,,,,14%,0.00 ,0.10 ,0.30 ,0.40 ,0.50 ,,,,,,,,,,,,,,,
,,,,,,,,,15%,0.00 ,0.10 ,0.50 ,0.50 ,0.60 ,,,,,,,,,,,,,,,
,,,,,,,,,16%,0.00 ,0.20 ,0.50 ,0.90 ,0.70 ,,,,,,,,,,,,,,,
,,,,,,,,,17%,0.20 ,0.20 ,0.80 ,0.90 ,0.80 ,,,,,,,,,,,,,,,
,,,,,,,,,18%,0.20 ,0.40 ,0.90 ,0.90 ,0.80 ,,,,,,,,,,,,,,,
,,,,,,,,,19%,0.20 ,0.50 ,0.90 ,0.90 ,1.00 ,,,,,,,,,,,,,,,
,,,,,,,,,20%,0.40 ,0.50 ,0.90 ,0.90 ,1.00 ,,,,,,,,,,,,,,,
,,,,,,,,,21%,0.40 ,0.60 ,0.90 ,1.00 ,1.00 ,,,,,,,,,,,,,,,
,,,,,,,,,22%,0.50 ,0.60 ,0.90 ,1.00 ,1.00 ,,,,,,,,,,,,,,,